"SCINAME","AS.y","threat_score.y","pred_threat.y","pred_threat_bin.y","iucn_sc_pred"
"Xenorhina anorbis","DD","DD","A","NT",3
"Xenorhina arboricola","DD","DD","A","NT",3
"Xenorhina arfakiana","DD","DD","A","NT",3
"Xenorhina eiponis","DD","DD","A","NT",3
"Xenorhina gigantea","DD","DD","A","NT",3
"Xenorhina huon","DD","DD","A","NT",3
"Xenorhina minima","DD","DD","A","NT",3
"Xenorhina ocellata","DD","DD","A","NT",3
"Xenorhina ophiodon","DD","DD","A","NT",3
"Xenorhina schiefenhoeveli","DD","DD","A","NT",3
"Xenorhina tumulus","DD","DD","A","NT",3
"Xenorhina zweifeli","DD","DD","A","NT",3
